word,category,meanHappiness,meanAnger,meanSadness,meanFear,meanDisgust
socjalistyczny,U,2,3.2962964,3.1111112,3.0370371,3.2962964
jęczeć,U,2.925926,2.925926,2.7777777,2.8888888,2.2962964
śmierć,U,1.2962962,3.8148148,5.888889,6,3.148148
podpierać,U,2.5555556,1.6666666,2.0370371,2.2592592,1.4814814
podstęp,U,1.5925926,4.888889,3.148148,4.5555553,4.148148
kształcić,U,5.185185,1.5555556,1.2962962,2.1851852,1.074074
mieszkać,U,4.888889,1.5185186,1.5185186,1.7037038,1
śmierdzący,U,1.037037,4.296296,3.148148,2.925926,5.7777777
wizyta,U,4.4074073,1.7037038,1.4444444,2.4814816,1.5925926
wyrzutek,U,1.3703704,3.2592592,4.740741,3.7037036,2.5555556
zegar,U,2.6296296,2.148148,2.1111112,2.074074,1.4444444
aromat,U,4.6296296,1.1111112,1.1481482,1.3333334,1.5185186
instynktowny,U,3.7037036,1.4444444,1.2222222,2.2222223,1.3703704
nekrolog,U,1.1111112,2.7777777,5.148148,4.2222223,2.5185184
porażka,U,1.1111112,5.296296,5.5185184,5.4074073,3.5925925
hazard,U,2.2962964,3.8148148,3.1111112,4.5555553,3.5185184
Łazienki,U,4.703704,1.1111112,1.2592592,1.074074,1.2222222
zrzeszać,U,3.148148,1.6666666,1.3703704,2.0370371,1.5185186
teleskop,U,3.5555556,1.2592592,1.3703704,1.4074074,1.074074
sztywny,U,2.0370371,2.5555556,1.8888888,2.1851852,2.2592592
przynosić,U,3.7777777,1.5555556,1.3333334,1.4444444,1.1111112
trud,U,2.925926,3.2962964,2.7037036,3.5185184,2
runda,U,2.7407408,1.3703704,1.2592592,2,1.4074074
podjadać,U,3.8148148,2.5925925,2.2222223,1.8888888,2.1851852
świadkowa,U,4.0740743,1.1851852,1.4444444,2.2222223,1.1111112
niewierność,U,1.3333334,5.4074073,4.962963,4.962963,4.888889
fiołkowy,U,4.111111,1.074074,1.4074074,1.1481482,1.2592592
wgląd,U,2.8148148,1.962963,1.4074074,2.1111112,1.2592592
maczuga,U,2.3703704,2.1851852,1.3333334,2.5925925,1.2592592
przeżycie,U,5.3333335,1.7777778,1.962963,3.0370371,1.2592592
panować,U,4.111111,2.3333333,1.7407408,2.6296296,2.0370371
powrót,U,5.259259,1.6296296,2.2222223,2.074074,1.1851852
reprezentować,U,4.9259257,1.4444444,1.2592592,3.2592592,1.1111112
stek,U,4.5555553,1.2222222,1.1111112,1.1481482,1.4444444
praca,U,4.6296296,2.6666667,2.1111112,3.1111112,1.4074074
prostytutka,U,1.8888888,2.3333333,4.259259,2.7777777,3.5185184
akademia,U,4.259259,1.2592592,1.2222222,2.0370371,1.2592592
pożądanie,U,5.3333335,1.7777778,1.6666666,2.1851852,1.1851852
efekt,U,4.740741,1.2222222,1.1481482,1.962963,1.037037
łajdak,U,1.1851852,4.814815,3.851852,3.8888888,4.814815
rubin,U,4.148148,1.1851852,1.2222222,1.2962962,1.037037
ssać,U,3.5555556,1.4814814,1.2962962,1.3703704,1.5555556
separacja,U,1.1481482,3.6666667,4.7777777,4.5555553,3
małomówny,U,1.7037038,2.7037036,3,2.7407408,1.6666666
ekstaza,U,5.4074073,1.6666666,1.1851852,2.1111112,1.2592592
firmowy,U,3.4814816,1.4444444,1.2592592,1.5185186,1.4074074
czyn,U,3.3703704,1.7037038,1.4444444,1.8518518,1.3333334
bezbronny,U,1.4444444,3.4814816,4.296296,5.4444447,2.148148
krzyk,U,1.5925926,4.4074073,3.6296296,5.962963,2.851852
elastyczny,U,4.037037,1.4074074,1.4444444,1.5185186,1.4814814
tragizm,U,1.3703704,3.5925925,4.814815,4.6666665,2.4814816
brakować,U,1.1111112,4.296296,5.4074073,5.259259,2.6296296
morderstwo,U,1.2222222,4.8703704,5.388889,5.9814816,4.962963
pudel,U,2.925926,1.2222222,1.074074,1.1481482,1.7037038
podły,U,1.2962962,4.888889,4.037037,4.0740743,4.3703704
stół,U,3.4074075,1.3703704,1.1111112,1.074074,1
trwać,U,4.296296,1.6666666,1.4444444,2.1111112,1.5185186
lewitować,U,4.111111,1.1111112,1.1481482,2.3703704,1.037037
cierpienie,U,1.2222222,3.8148148,5.962963,5.814815,3.074074
zwiększać,U,4.5555553,1.5555556,1.2592592,1.7777778,1.1111112
resztka,U,1.7037038,2.6666667,3.2592592,2.6666667,2.3333333
zadłużenie,U,1.2962962,4.3703704,4.5925927,5.4074073,3.3703704
dom,U,6.111111,1.962963,2.2222223,2,1.4444444
dowód,U,3.4814816,1.5925926,1.4444444,2.074074,1.2222222
budda,U,3.1851852,1.6296296,1.4074074,1.3703704,1.2222222
chronić,U,5,1.5925926,1.4814814,3.1851852,1.3703704
lipa,U,3.074074,2.4814816,2.2592592,2,1.5925926
samoobrona,U,3.074074,3.148148,2.1111112,3.925926,1.6296296
mysi,U,1.8888888,2,1.925926,2.074074,2.8888888
zasiłek,U,1.6666666,3.7777777,4.148148,3.925926,3.148148
